"id_site","code_module","code_presentation","activity_type","week_from","week_to"
"883223","FFF","2014J","url","22","22"
"882631","FFF","2014J","oucontent","15","15"
"883043","FFF","2014J","subpage","4","4"
"883256","FFF","2014J","url","",""
"882666","FFF","2014J","oucontent","15","15"
"883074","FFF","2014J","subpage","",""
"883287","FFF","2014J","url","",""
"882706","FFF","2014J","page","",""
"883156","FFF","2014J","oucollaborate","",""
"882553","FFF","2014J","ouwiki","",""
"882914","FFF","2014J","resource","",""
"882921","FFF","2014J","resource","",""
"883188","FFF","2014J","url","18","18"
"882590","FFF","2014J","oucontent","15","15"
"882976","FFF","2014J","resource","",""
"883220","FFF","2014J","url","22","22"
"882628","FFF","2014J","oucontent","22","22"
"883040","FFF","2014J","subpage","1","1"
"883253","FFF","2014J","url","28","28"
"882663","FFF","2014J","oucontent","1","1"
"883284","FFF","2014J","url","",""
"882703","FFF","2014J","page","",""
"883153","FFF","2014J","oucollaborate","",""
"882550","FFF","2014J","forumng","",""
"882911","FFF","2014J","resource","",""
"882917","FFF","2014J","resource","",""
"883185","FFF","2014J","url","18","18"
"882587","FFF","2014J","oucontent","29","29"
"882971","FFF","2014J","resource","",""
"883217","FFF","2014J","url","22","22"
"882624","FFF","2014J","oucontent","16","16"
"883036","FFF","2014J","subpage","",""
"883250","FFF","2014J","url","28","28"
"882660","FFF","2014J","oucontent","11","11"
"883071","FFF","2014J","subpage","",""
"883281","FFF","2014J","url","",""
"882689","FFF","2014J","page","",""
"883150","FFF","2014J","oucollaborate","",""
"882545","FFF","2014J","forumng","",""
"882904","FFF","2014J","resource","",""
"883182","FFF","2014J","url","1","1"
"882584","FFF","2014J","oucontent","21","21"
"882966","FFF","2014J","resource","",""
"883214","FFF","2014J","url","21","21"
"882621","FFF","2014J","oucontent","8","8"
"883026","FFF","2014J","resource","",""
"883247","FFF","2014J","url","",""
"882657","FFF","2014J","oucontent","15","15"
"883068","FFF","2014J","subpage","",""
"882686","FFF","2014J","page","28","28"
"883147","FFF","2014J","oucollaborate","",""
"882900","FFF","2014J","resource","",""
"883179","FFF","2014J","url","18","18"
"882580","FFF","2014J","oucontent","",""
"882955","FFF","2014J","resource","18","18"
"883211","FFF","2014J","url","21","21"
"882618","FFF","2014J","oucontent","",""
"883023","FFF","2014J","resource","",""
"883244","FFF","2014J","url","9","9"
"882654","FFF","2014J","oucontent","",""
"883065","FFF","2014J","subpage","",""
"883278","FFF","2014J","url","12","12"
"882683","FFF","2014J","quiz","",""
"883143","FFF","2014J","htmlactivity","",""
"1011388","FFF","2014J","forumng","",""
"882894","FFF","2014J","resource","",""
"883176","FFF","2014J","url","18","18"
"882577","FFF","2014J","oucontent","5","5"
"882951","FFF","2014J","resource","",""
"883208","FFF","2014J","url","21","21"
"882611","FFF","2014J","oucontent","20","20"
"883016","FFF","2014J","resource","",""
"883241","FFF","2014J","url","27","27"
"882651","FFF","2014J","oucontent","11","11"
"883062","FFF","2014J","subpage","",""
"883275","FFF","2014J","url","",""
"882680","FFF","2014J","quiz","10","10"
"883099","FFF","2014J","repeatactivity","1","1"
"941543","FFF","2014J","oucontent","",""
"882723","FFF","2014J","questionnaire","5","5"
"883173","FFF","2014J","url","1","1"
"882573","FFF","2014J","oucontent","3","3"
"882947","FFF","2014J","resource","11","11"
"883205","FFF","2014J","url","21","21"
"882608","FFF","2014J","oucontent","19","19"
"882998","FFF","2014J","resource","",""
"883238","FFF","2014J","url","26","26"
"882648","FFF","2014J","oucontent","9","9"
"883059","FFF","2014J","subpage","29","29"
"883272","FFF","2014J","url","11","11"
"882677","FFF","2014J","quiz","10","10"
"883090","FFF","2014J","subpage","24","24"
"883306","FFF","2014J","dataplus","",""
"882720","FFF","2014J","questionnaire","28","28"
"883170","FFF","2014J","url","18","18"
"882569","FFF","2014J","oucontent","8","8"
"882943","FFF","2014J","resource","28","28"
"883202","FFF","2014J","url","20","20"
"882605","FFF","2014J","oucontent","21","21"
"882993","FFF","2014J","resource","",""
"883235","FFF","2014J","url","23","23"
"882645","FFF","2014J","oucontent","9","9"
"883056","FFF","2014J","subpage","22","22"
"883269","FFF","2014J","url","10","10"
"883087","FFF","2014J","subpage","16","16"
"883302","FFF","2014J","dataplus","",""
"882717","FFF","2014J","questionnaire","24","24"
"883167","FFF","2014J","url","15","15"
"882565","FFF","2014J","oucontent","23","23"
"882940","FFF","2014J","resource","",""
"883199","FFF","2014J","url","20","20"
"882601","FFF","2014J","oucontent","16","16"
"882989","FFF","2014J","resource","18","18"
"883232","FFF","2014J","url","23","23"
"882642","FFF","2014J","oucontent","",""
"883053","FFF","2014J","subpage","20","20"
"883265","FFF","2014J","url","29","29"
"882674","FFF","2014J","quiz","",""
"883083","FFF","2014J","subpage","",""
"883295","FFF","2014J","dualpane","5","5"
"882714","FFF","2014J","questionnaire","20","20"
"883164","FFF","2014J","url","14","14"
"882562","FFF","2014J","oucontent","9","9"
"882935","FFF","2014J","resource","",""
"883196","FFF","2014J","url","18","18"
"882598","FFF","2014J","oucontent","15","15"
"882986","FFF","2014J","resource","",""
"883229","FFF","2014J","url","23","23"
"882636","FFF","2014J","oucontent","26","26"
"883049","FFF","2014J","subpage","12","12"
"883262","FFF","2014J","url","29","29"
"882671","FFF","2014J","oucontent","11","11"
"883080","FFF","2014J","subpage","",""
"883292","FFF","2014J","url","",""
"882711","FFF","2014J","questionnaire","19","19"
"883161","FFF","2014J","url","",""
"882559","FFF","2014J","ouwiki","19","19"
"882926","FFF","2014J","resource","",""
"883193","FFF","2014J","url","18","18"
"882595","FFF","2014J","oucontent","29","29"
"882983","FFF","2014J","resource","",""
"883226","FFF","2014J","url","23","23"
"882633","FFF","2014J","oucontent","1","1"
"883046","FFF","2014J","subpage","18","18"
"883259","FFF","2014J","url","",""
"882668","FFF","2014J","oucontent","10","10"
"883076","FFF","2014J","subpage","",""
"883289","FFF","2014J","url","",""
"882708","FFF","2014J","page","",""
"883158","FFF","2014J","oucollaborate","",""
"882555","FFF","2014J","ouwiki","26","26"
"882916","FFF","2014J","resource","",""
"882923","FFF","2014J","resource","",""
"883190","FFF","2014J","url","18","18"
"882592","FFF","2014J","oucontent","12","12"
"882980","FFF","2014J","resource","",""
"883222","FFF","2014J","url","",""
"882630","FFF","2014J","oucontent","15","15"
"883042","FFF","2014J","subpage","3","3"
"883255","FFF","2014J","url","28","28"
"882665","FFF","2014J","oucontent","1","1"
"883073","FFF","2014J","subpage","19","19"
"883286","FFF","2014J","url","",""
"882705","FFF","2014J","page","12","12"
"883155","FFF","2014J","oucollaborate","",""
"882552","FFF","2014J","glossary","",""
"882913","FFF","2014J","resource","",""
"882920","FFF","2014J","resource","",""
"883187","FFF","2014J","url","18","18"
"882589","FFF","2014J","oucontent","29","29"
"882975","FFF","2014J","resource","",""
"883219","FFF","2014J","url","22","22"
"882626","FFF","2014J","oucontent","",""
"883038","FFF","2014J","subpage","",""
"883252","FFF","2014J","url","28","28"
"882662","FFF","2014J","oucontent","8","8"
"883283","FFF","2014J","url","",""
"882701","FFF","2014J","page","",""
"883152","FFF","2014J","oucollaborate","",""
"882549","FFF","2014J","forumng","",""
"882907","FFF","2014J","resource","21","21"
"883184","FFF","2014J","url","18","18"
"882586","FFF","2014J","oucontent","28","28"
"882970","FFF","2014J","resource","",""
"883216","FFF","2014J","url","21","21"
"882623","FFF","2014J","oucontent","",""
"883029","FFF","2014J","resource","",""
"883249","FFF","2014J","url","28","28"
"882659","FFF","2014J","oucontent","11","11"
"883070","FFF","2014J","subpage","",""
"883280","FFF","2014J","url","13","13"
"882688","FFF","2014J","page","28","28"
"883149","FFF","2014J","oucollaborate","",""
"882537","FFF","2014J","homepage","",""
"882903","FFF","2014J","resource","",""
"883181","FFF","2014J","url","18","18"
"882582","FFF","2014J","oucontent","16","16"
"882959","FFF","2014J","resource","",""
"883213","FFF","2014J","url","21","21"
"882620","FFF","2014J","oucontent","24","24"
"883025","FFF","2014J","resource","13","13"
"883246","FFF","2014J","url","28","28"
"882656","FFF","2014J","oucontent","11","11"
"883067","FFF","2014J","subpage","",""
"882685","FFF","2014J","page","19","19"
"883145","FFF","2014J","htmlactivity","",""
"1072240","FFF","2014J","oucollaborate","",""
"882899","FFF","2014J","resource","",""
"883178","FFF","2014J","url","18","18"
"882579","FFF","2014J","oucontent","27","27"
"882953","FFF","2014J","resource","18","18"
"883210","FFF","2014J","url","21","21"
"882617","FFF","2014J","oucontent","",""
"883018","FFF","2014J","resource","",""
"883243","FFF","2014J","url","27","27"
"882653","FFF","2014J","oucontent","",""
"883064","FFF","2014J","subpage","",""
"883277","FFF","2014J","url","12","12"
"882682","FFF","2014J","quiz","",""
"883142","FFF","2014J","htmlactivity","",""
"1004809","FFF","2014J","questionnaire","",""
"882892","FFF","2014J","resource","",""
"883175","FFF","2014J","url","1","1"
"882575","FFF","2014J","oucontent","22","22"
"882949","FFF","2014J","resource","",""
"883207","FFF","2014J","url","21","21"
"882610","FFF","2014J","oucontent","8","8"
"883002","FFF","2014J","resource","",""
"883240","FFF","2014J","url","26","26"
"882650","FFF","2014J","oucontent","11","11"
"883061","FFF","2014J","subpage","",""
"883274","FFF","2014J","url","",""
"882679","FFF","2014J","quiz","",""
"883092","FFF","2014J","subpage","",""
"937372","FFF","2014J","url","",""
"882722","FFF","2014J","questionnaire","5","5"
"883172","FFF","2014J","url","18","18"
"882571","FFF","2014J","oucontent","26","26"
"882946","FFF","2014J","resource","29","29"
"883204","FFF","2014J","url","21","21"
"882607","FFF","2014J","oucontent","",""
"882996","FFF","2014J","resource","",""
"883237","FFF","2014J","url","24","24"
"882647","FFF","2014J","oucontent","9","9"
"883058","FFF","2014J","subpage","26","26"
"883271","FFF","2014J","url","",""
"882676","FFF","2014J","quiz","",""
"883089","FFF","2014J","subpage","7","7"
"883304","FFF","2014J","dataplus","",""
"882719","FFF","2014J","questionnaire","28","28"
"883169","FFF","2014J","url","18","18"
"882567","FFF","2014J","oucontent","27","27"
"882942","FFF","2014J","resource","15","15"
"883201","FFF","2014J","url","20","20"
"882603","FFF","2014J","oucontent","16","16"
"882992","FFF","2014J","resource","18","18"
"883234","FFF","2014J","url","23","23"
"882644","FFF","2014J","oucontent","",""
"883055","FFF","2014J","subpage","",""
"883268","FFF","2014J","url","10","10"
"883085","FFF","2014J","subpage","15","15"
"883301","FFF","2014J","dataplus","",""
"882716","FFF","2014J","questionnaire","24","24"
"883166","FFF","2014J","url","14","14"
"882564","FFF","2014J","oucontent","10","10"
"882937","FFF","2014J","resource","",""
"883198","FFF","2014J","url","20","20"
"882600","FFF","2014J","oucontent","14","14"
"882988","FFF","2014J","resource","",""
"883231","FFF","2014J","url","23","23"
"882639","FFF","2014J","oucontent","",""
"883051","FFF","2014J","subpage","",""
"883264","FFF","2014J","url","29","29"
"882673","FFF","2014J","quiz","",""
"661577","GGG","2013J","oucontent","",""
"661690","GGG","2013J","resource","",""
"661722","GGG","2013J","resource","",""
"661764","GGG","2013J","resource","",""
"661808","GGG","2013J","subpage","",""
"661573","GGG","2013J","forumng","",""
"661613","GGG","2013J","quiz","",""
"661719","GGG","2013J","resource","",""
"661761","GGG","2013J","resource","",""
"661804","GGG","2013J","resource","1","1"
"661610","GGG","2013J","quiz","",""
"661716","GGG","2013J","resource","",""
"661757","GGG","2013J","resource","",""
"661801","GGG","2013J","resource","",""
"661607","GGG","2013J","quiz","",""
"661713","GGG","2013J","resource","",""
"661753","GGG","2013J","resource","",""
"661796","GGG","2013J","resource","",""
"661602","GGG","2013J","oucontent","",""
"661710","GGG","2013J","resource","",""
"661748","GGG","2013J","resource","",""
"661792","GGG","2013J","resource","",""
"661599","GGG","2013J","oucontent","",""
"661707","GGG","2013J","resource","",""
"661743","GGG","2013J","resource","",""
"661787","GGG","2013J","resource","",""
"661595","GGG","2013J","oucontent","",""
"661704","GGG","2013J","resource","",""
"661738","GGG","2013J","resource","",""
"661783","GGG","2013J","resource","",""
"661592","GGG","2013J","oucontent","",""
"661701","GGG","2013J","resource","",""
"661734","GGG","2013J","resource","",""
"661777","GGG","2013J","resource","",""
"661589","GGG","2013J","oucontent","",""
"661698","GGG","2013J","resource","",""
"661731","GGG","2013J","resource","",""
"661772","GGG","2013J","resource","",""
"661586","GGG","2013J","oucontent","",""
"661695","GGG","2013J","resource","3","3"
"661727","GGG","2013J","resource","",""
"661769","GGG","2013J","resource","",""
"661579","GGG","2013J","oucontent","",""
"661692","GGG","2013J","resource","",""
"661724","GGG","2013J","resource","",""
"661766","GGG","2013J","resource","",""
"661810","GGG","2013J","subpage","",""
"661576","GGG","2013J","oucontent","",""
"661615","GGG","2013J","quiz","",""
"661721","GGG","2013J","resource","",""
"661763","GGG","2013J","resource","",""
"661807","GGG","2013J","subpage","",""
"661572","GGG","2013J","forumng","",""
"661612","GGG","2013J","quiz","",""
"661718","GGG","2013J","resource","",""
"661759","GGG","2013J","resource","",""
"661803","GGG","2013J","resource","",""
"661609","GGG","2013J","quiz","",""
"661715","GGG","2013J","resource","",""
"661756","GGG","2013J","resource","",""
"661799","GGG","2013J","resource","",""
"661606","GGG","2013J","oucontent","",""
"661712","GGG","2013J","resource","",""
"661750","GGG","2013J","resource","",""
"661795","GGG","2013J","resource","",""
"661601","GGG","2013J","oucontent","",""
"661709","GGG","2013J","resource","",""
"661747","GGG","2013J","resource","",""
"661790","GGG","2013J","resource","",""
"661598","GGG","2013J","oucontent","",""
"661706","GGG","2013J","resource","",""
"661742","GGG","2013J","resource","",""
"661786","GGG","2013J","resource","",""
"661594","GGG","2013J","oucontent","",""
"661703","GGG","2013J","resource","",""
"661736","GGG","2013J","resource","",""
"661780","GGG","2013J","resource","",""
"661591","GGG","2013J","oucontent","",""
"661700","GGG","2013J","resource","",""
"661733","GGG","2013J","resource","",""
"661775","GGG","2013J","resource","",""
"661588","GGG","2013J","oucontent","",""
"661697","GGG","2013J","resource","",""
"661729","GGG","2013J","resource","",""
"661771","GGG","2013J","resource","",""
"661585","GGG","2013J","oucontent","",""
"661694","GGG","2013J","resource","2","2"
"661726","GGG","2013J","resource","",""
"661768","GGG","2013J","resource","",""
"661578","GGG","2013J","oucontent","",""
"661691","GGG","2013J","resource","",""
"661723","GGG","2013J","resource","",""
"661765","GGG","2013J","resource","",""
"661809","GGG","2013J","subpage","",""
"661575","GGG","2013J","homepage","",""
"661614","GGG","2013J","quiz","",""
